epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_TKG,fees_epoch_TKR_at_main,reward_epoch_total_value_TKG_only,coinbase_cum_TKG,fees_cum_TKR_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg
42,OV_2,MAIN_2,7340,30.583,7340,0,0,0,0,0.0,330.3027999923934,30.0593,331.0367999922091,30.0618,30.5833,0.734,0.0,0.734,31.0368,0.0845,0,0.0,0,0,0.0,0.0,7340.0,146.0,0.0,0.0
42,OV_3,MAIN_3,7199,29.996,7199,0,0,0,0,0.0,330.2282999924121,30.0526,330.94819999223137,30.0537,29.9958,0.7199,0.0,0.7199,30.9482,0.082,0,0.0,0,0,0.0,0.0,7199.0,143.0,0.0,0.0
43,OV_1,MAIN_1,9602,40.008,9122,0,480,0,480,5.0,439.20329999015917,39.8845,440.1154999899302,39.8821,38.0083,0.9122,0.0,0.9122,40.1155,0.1031,0,0.0,480,480,100.0,1536.0,9122.0,192.0,0.0,0.0
43,OV_2,MAIN_2,7229,30.121,7229,0,0,0,0,0.0,331.0367999922091,30.0618,331.75969999202766,30.0632,30.1208,0.7229,0.0,0.7229,31.7597,0.0845,0,0.0,0,0,0.0,0.0,7229.0,144.0,0.0,0.0
43,OV_3,MAIN_3,7169,29.871,7169,0,0,0,0,0.0,330.94819999223137,30.0537,331.6650999920514,30.0546,29.8708,0.7169,0.0,0.7169,31.6651,0.082,0,0.0,0,0,0.0,0.0,7169.0,143.0,0.0,0.0
44,OV_1,MAIN_1,9483,39.513,9009,0,474,0,474,5.0,440.1154999899302,39.8821,441.01639998970404,39.8788,37.5375,0.9009,0.0,0.9009,41.0164,0.1031,0,0.0,474,474,100.0,1518.0,9009.0,189.0,0.0,0.0
44,OV_2,MAIN_2,7219,30.079,7219,0,0,0,0,0.0,331.75969999202766,30.0632,332.48159999184645,30.0645,30.0792,0.7219,0.0,0.7219,32.4816,0.0845,0,0.0,0,0,0.0,0.0,7219.0,144.0,0.0,0.0
44,OV_3,MAIN_3,7298,30.408,7298,0,0,0,0,0.0,331.6650999920514,30.0546,332.3948999918682,30.0567,30.4083,0.7298,0.0,0.7298,32.3949,0.082,0,0.0,0,0,0.0,0.0,7298.0,145.0,0.0,0.0
45,OV_1,MAIN_1,9589,39.954,9110,0,479,0,479,5.0,441.01639998970404,39.8788,441.92739998947536,39.8763,37.9583,0.911,0.0,0.911,41.9274,0.1031,0,0.0,479,479,100.0,1534.0,9110.0,191.0,0.0,0.0
45,OV_2,MAIN_2,7280,30.333,7280,0,0,0,0,0.0,332.48159999184645,30.0645,333.2095999916637,30.0664,30.3333,0.728,0.0,0.728,33.2096,0.0845,0,0.0,0,0,0.0,0.0,7280.0,145.0,0.0,0.0
