epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
15,OV_2,MAIN_2,11953,49.804,11953,0,0,0,0,0.0,316.922899995752,49.6257,318.118199995452,49.6329,49.8042,1.1953,0.0002,1.1953,18.1182,0.0053,0,0.0,0,0,0.0,0.0,11953.0,2390.0,0.0,0.0,1.0,2,0.49804166666666666,0,0,0,0
15,OV_3,MAIN_3,11868,49.45,11868,0,0,0,0,0.0,316.9022999957572,49.6225,318.08909999545926,49.6283,49.45,1.1868,0.0002,1.1868,18.0891,0.0047,0,0.0,0,0,0.0,0.0,11868.0,2373.0,0.0,0.0,1.0,2,0.4945,0,0,0,0
16,OV_1,MAIN_1,182,0.758,137,0,45,0,45,24.73,4.735263343932221,0.7388,4.669131571298568,0.7259,0.5708,0.0137,0.0,0.0137,1.8955,0.0005,17015,85.075,45,45,100.0,378.0,137.0,36.0,16774.0,17015.0,0.7527472527472527,2,0.007583333333333333,1,0,0,0
16,OV_2,MAIN_2,11843,49.346,11843,0,0,0,0,0.0,318.118199995452,49.6329,319.3024999951547,49.6383,49.3458,1.1843,0.0002,1.1843,19.3025,0.0055,0,0.0,0,0,0.0,0.0,11843.0,2368.0,0.0,0.0,1.0,2,0.49345833333333333,0,0,0,0
16,OV_3,MAIN_3,11975,49.896,11975,0,0,0,0,0.0,318.08909999545926,49.6283,319.28659999515867,49.6358,49.8958,1.1975,0.0002,1.1975,19.2866,0.0049,0,0.0,0,0,0.0,0.0,11975.0,2395.0,0.0,0.0,1.0,2,0.49895833333333334,0,0,0,0
17,OV_1,MAIN_1,184,0.767,138,0,46,0,46,25.0,4.669131571298568,0.7259,4.602454050953573,0.7129,0.575,0.0138,0.0,0.0138,1.9093,0.0005,17265,86.325,46,46,100.0,388.0,138.0,36.0,17015.0,17265.0,0.75,2,0.007666666666666666,1,0,0,0
17,OV_2,MAIN_2,11926,49.692,11926,0,0,0,0,0.0,319.3024999951547,49.6383,320.4950999948553,49.645,49.6917,1.1926,0.0,1.1926,20.4951,0.0055,0,0.0,0,0,0.0,0.0,11926.0,2385.0,0.0,0.0,1.0,2,0.4969166666666667,0,0,0,0
17,OV_3,MAIN_3,11890,49.542,11890,0,0,0,0,0.0,319.28659999515867,49.6358,320.4755999948602,49.642,49.5417,1.189,0.0001,1.189,20.4756,0.005,0,0.0,0,0,0.0,0.0,11890.0,2378.0,0.0,0.0,1.0,2,0.49541666666666667,0,0,0,0
18,OV_1,MAIN_1,177,0.737,133,0,44,0,44,24.86,4.602454050953573,0.7129,4.540985199407043,0.7009,0.5542,0.0133,0.0,0.0133,1.9226,0.0005,17502,87.51,44,44,100.0,370.0,133.0,35.0,17265.0,17502.0,0.751412429378531,2,0.007375,1,0,0,0
18,OV_2,MAIN_2,11944,49.767,11944,0,0,0,0,0.0,320.4950999948553,49.645,321.6894999945555,49.6516,49.7667,1.1944,0.0006,1.1944,21.6895,0.0061,0,0.0,0,0,0.0,0.0,11944.0,2388.0,0.0,0.0,1.0,2,0.49766666666666665,0,0,0,0
18,OV_3,MAIN_3,11879,49.496,11879,0,0,0,0,0.0,320.4755999948602,49.642,321.663499994562,49.6476,49.4958,1.1879,0.0003,1.1879,21.6635,0.0053,0,0.0,0,0,0.0,0.0,11879.0,2375.0,0.0,0.0,1.0,2,0.49495833333333333,0,0,0,0
19,OV_1,MAIN_1,166,0.692,125,0,41,0,41,24.7,4.540985199407043,0.7009,4.485632498181064,0.6899,0.5208,0.0125,0.0,0.0125,1.9351,0.0005,17721,88.605,41,41,100.0,344.0,125.0,33.0,17502.0,17721.0,0.7530120481927711,2,0.0069166666666666664,1,0,0,0
19,OV_2,MAIN_2,11976,49.9,11976,0,0,0,0,0.0,321.6894999945555,49.6516,322.88709999425487,49.658,49.9,1.1976,0.0002,1.1976,22.8871,0.0063,0,0.0,0,0,0.0,0.0,11976.0,2395.0,0.0,0.0,1.0,2,0.499,0,0,0,0
19,OV_3,MAIN_3,11858,49.408,11858,0,0,0,0,0.0,321.663499994562,49.6476,322.8492999942644,49.6522,49.4083,1.1858,0.0001,1.1858,22.8493,0.0054,0,0.0,0,0,0.0,0.0,11858.0,2371.0,0.0,0.0,1.0,2,0.4940833333333333,0,0,0,0
20,OV_1,MAIN_1,176,0.733,132,0,44,0,44,25.0,4.485632498181064,0.6899,4.426987168891579,0.6784,0.55,0.0132,0.0,0.0132,1.9483,0.0005,17959,89.795,44,44,100.0,370.0,132.0,35.0,17721.0,17959.0,0.75,2,0.007333333333333333,1,0,0,0
